"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
14333, 2.305724437000000e-02, -2.783033943000000e-03, 7.757518394998467e-02, -5.270998948857231e+00, 4.048906579633295e-04, -8.652417417215350e-04, -1.281146635629066e-06
14334, 2.265927089000000e-02, -1.948612415000000e-03, 7.803719519042364e-02, -5.268358884626151e+00, 4.191182074050452e-04, -8.618825398802027e-04, -1.289919151060456e-06
14335, 2.225379992000000e-02, -1.130815712000000e-03, 7.856872303662896e-02, -5.265321582647834e+00, 4.327471815997901e-04, -8.556349228880412e-04, -1.291404291226409e-06
14336, 2.184066355000000e-02, -3.300483711000000e-04, 7.914547031886177e-02, -5.262025883892218e+00, 4.452875584806591e-04, -8.457475596211280e-04, -1.283283984091295e-06
14337, 2.141976335000000e-02, 4.532941071000000e-04, 7.973346008969116e-02, -5.258665942344622e+00, 4.569908505340723e-04, -8.328678136280976e-04, -1.267599619803905e-06
14338, 2.099086518000000e-02, 1.218712856000000e-03, 8.030102099687941e-02, -5.255422737160689e+00, 4.681465094809691e-04, -8.173885783477706e-04, -1.245870614847258e-06
14339, 2.055361471000000e-02, 1.965598463000000e-03, 8.080981892943190e-02, -5.252515320403246e+00, 4.793635640430867e-04, -8.001182679668595e-04, -1.221001888784405e-06
14340, 2.010748852000000e-02, 2.693179954000000e-03, 8.123370295979357e-02, -5.250093125944037e+00, 4.918846338895244e-04, -7.824124230078105e-04, -1.198030290386056e-06
14341, 1.965160247000000e-02, 3.400377136000000e-03, 8.156013297246080e-02, -5.248227811585939e+00, 5.065994225660051e-04, -7.647960884477073e-04, -1.179515046449242e-06
14342, 1.918495497000000e-02, 4.085897788000000e-03, 8.178011955852174e-02, -5.246970745379876e+00, 5.250536096435172e-04, -7.484491301756752e-04, -1.170437225056380e-06
14343, 1.870619830000000e-02, 4.748024149000000e-03, 8.191259591636972e-02, -5.246213737620745e+00, 5.486462314086189e-04, -7.336228268698690e-04, -1.173944919481285e-06
14344, 1.821372264000000e-02, 5.384582016000000e-03, 8.198020159418981e-02, -5.245827419461772e+00, 5.778143667108448e-04, -7.193878527477703e-04, -1.189631841877155e-06
14345, 1.770610021000000e-02, 5.993161790000000e-03, 8.200673458896605e-02, -5.245675802348766e+00, 6.140586736021780e-04, -7.057651942929799e-04, -1.221398499133120e-06
14346, 1.718170641000000e-02, 6.570724589000000e-03, 8.207209241291141e-02, -5.245302329069077e+00, 6.575345111483716e-04, -6.906095495233259e-04, -1.267519544129798e-06
14347, 1.663913623000000e-02, 7.113795766000000e-03, 8.223723638640537e-02, -5.244358649220541e+00, 7.057442070585022e-04, -6.700883173421279e-04, -1.318685209272672e-06
14348, 1.607776172000000e-02, 7.618895346000000e-03, 8.255151592789339e-02, -5.242562766126324e+00, 7.580105508425881e-04, -6.428168579020298e-04, -1.374023552899819e-06
14349, 1.549732399000000e-02, 8.082088563000000e-03, 8.312122139979305e-02, -5.239307306286897e+00, 8.124288128403523e-04, -6.064729186837564e-04, -1.428894311595712e-06
14350, 1.489833775000000e-02, 8.499327805000000e-03, 8.401221964086343e-02, -5.234215887766495e+00, 8.645250439770487e-04, -5.588057473954078e-04, -1.472933760245568e-06
14351, 1.428259760000000e-02, 8.867255046000000e-03, 8.524646885024328e-02, -5.227163035141468e+00, 9.115336098684457e-04, -5.003944742924068e-04, -1.503526239461247e-06
14352, 1.365282189000000e-02, 9.183064802999999e-03, 8.680760242688464e-02, -5.218242271846373e+00, 9.511749410164654e-04, -4.324599475596290e-04, -1.519658348383974e-06
14353, 1.301254512000000e-02, 9.444695435999999e-03, 8.867836460063099e-02, -5.207552202282109e+00, 9.802792206631710e-04, -3.567109401189310e-04, -1.517196720417371e-06
14354, 1.236603154000000e-02, 9.651311181999999e-03, 9.083085986599347e-02, -5.195252229337180e+00, 9.918055696305254e-04, -2.747714743610517e-04, -1.479209086067204e-06
14355, 1.171791546000000e-02, 9.803361803000000e-03, 9.308773464491320e-02, -5.182355802029067e+00, 9.843574860455360e-04, -1.910963307712987e-04, -1.407021471978152e-06
14356, 1.107282540000000e-02, 9.902365247000000e-03, 9.541819454360634e-02, -5.169038888322250e+00, 9.629420164285232e-04, -1.106053025295379e-04, -1.317054507595183e-06
14357, 1.043512546000000e-02, 9.950705436999999e-03, 9.773161118182433e-02, -5.155819364675290e+00, 9.297804794269353e-04, -3.607244225748807e-05, -1.214839684061155e-06
14358, 9.808752888000000e-03, 9.951407127000000e-03, 9.996908494404295e-02, -5.143033800319754e+00, 9.057002729239630e-04, 3.165981463600215e-05, -1.151280997414811e-06
14359, 9.190539959000000e-03, 9.907199492000000e-03, 1.021761550406920e-01, -5.130421971196045e+00, 8.583432846252495e-04, 9.213245515113508e-05, -1.043984228298705e-06
14360, 8.577011317000000e-03, 9.819195019000001e-03, 1.042972206592494e-01, -5.118301596232861e+00, 8.004107868465823e-04, 1.435546214232825e-04, -9.285077510997026e-07
14361, 7.971134776000000e-03, 9.688497730000000e-03, 1.063245384007996e-01, -5.106716923424003e+00, 7.398764590951448e-04, 1.865028426884404e-04, -8.196516895188047e-07
14362, 7.375696470000000e-03, 9.516376040000000e-03, 1.082531454133826e-01, -5.095696311923528e+00, 6.787107375053013e-04, 2.214229459986503e-04, -7.195754334640773e-07
14363, 6.793304035000000e-03, 9.304241612999999e-03, 1.100828253058876e-01, -5.085240998252071e+00, 6.183191241959635e-04, 2.489291160945680e-04, -6.290000379209039e-07
14364, 6.226391281000000e-03, 9.053677227000000e-03, 1.118145753460986e-01, -5.075345283736580e+00, 5.595211943714793e-04, 2.695827877738427e-04, -5.476099214633946e-07
14365, 5.677188018000000e-03, 8.766485992000000e-03, 1.134547341005835e-01, -5.065972947996666e+00, 5.033051564366058e-04, 2.841021514526371e-04, -4.754521931412620e-07
14366, 5.147564212000000e-03, 8.444708517999999e-03, 1.150011879117565e-01, -5.057136069075677e+00, 4.498755478242321e-04, 2.928064200319081e-04, -4.110957794156626e-07
14367, 4.638858223000000e-03, 8.090677690000001e-03, 1.164449493772940e-01, -5.048886003558320e+00, 3.991879308549539e-04, 2.958567663792168e-04, -3.529925073189529e-07
14368, 4.152167784000000e-03, 7.706973868000000e-03, 1.177764476540062e-01, -5.041277441977107e+00, 3.515033734229055e-04, 2.935744115451533e-04, -3.004773301398963e-07
14369, 3.687884598000000e-03, 7.296427781000000e-03, 1.189972403962321e-01, -5.034301483450102e+00, 3.058532373732502e-04, 2.852979712862814e-04, -2.510284888931232e-07
14370, 3.246096596000000e-03, 6.861796377000000e-03, 1.200849257395153e-01, -5.028086138631341e+00, 2.649050933745129e-04, 2.734953947723816e-04, -2.083991779667528e-07
14371, 2.837706897000000e-03, 6.418680649000000e-03, 1.210200782217549e-01, -5.022742410161401e+00, 2.299003484074246e-04, 2.605208314526788e-04, -1.736734181939165e-07
14372, 2.470486961000000e-03, 5.982883107000000e-03, 1.218142015373428e-01, -5.018204562643755e+00, 2.002144107569594e-04, 2.473002452165149e-04, -1.456659903614708e-07
14373, 2.139665927000000e-03, 5.556476463000000e-03, 1.224879053315330e-01, -5.014354826676954e+00, 1.744779313932724e-04, 2.336264658688967e-04, -1.223825640735580e-07
14374, 1.841291223000000e-03, 5.140388154000000e-03, 1.230671805821730e-01, -5.011044682387583e+00, 1.526548428856882e-04, 2.210388307744222e-04, -1.039507970454905e-07
